experiment,optimizer,rho,seed,epoch,train_loss,train_acc,test_loss,test_acc
sgd_seed42,sgd,,42,1,2.052580362472534,0.26268,1.6180489694595337,0.3943
sgd_seed42,sgd,,42,2,1.4963327377319335,0.4463,1.3490771381378175,0.5078
sgd_seed42,sgd,,42,3,1.206427517929077,0.56696,1.1645814657211304,0.5867
sgd_seed42,sgd,,42,4,0.9869712887954712,0.64752,1.032300843334198,0.6394
sgd_seed42,sgd,,42,5,0.8370341914176941,0.70508,0.8592469272613525,0.6989
sgd_seed42,sgd,,42,6,0.7039242417907715,0.75388,0.8050887166976929,0.7282
sgd_seed42,sgd,,42,7,0.6133973184967041,0.78678,0.6752400352478027,0.7599
sgd_seed42,sgd,,42,8,0.5648437500572204,0.8044,0.6572332229614258,0.7739
sgd_seed42,sgd,,42,9,0.511542602071762,0.8227,0.5947880657196045,0.7946
sgd_seed42,sgd,,42,10,0.48055582315444945,0.83538,0.5450604188919067,0.8169
sgd_seed42,sgd,,42,11,0.44898048807144164,0.846,0.5183809997558594,0.8257
sgd_seed42,sgd,,42,12,0.42677147685050965,0.85292,0.6531950137138367,0.7885
sgd_seed42,sgd,,42,13,0.3972301139640808,0.86116,0.5042054309844971,0.8318
sgd_seed42,sgd,,42,14,0.37775228185653686,0.87202,0.46331938533782957,0.8467
sgd_seed42,sgd,,42,15,0.3438258831977844,0.88054,0.4553837264060974,0.8517
sgd_seed42,sgd,,42,16,0.32442415857315066,0.88846,0.41582959880828857,0.8592
sgd_seed42,sgd,,42,17,0.2909984709739685,0.89992,0.40868887515068053,0.8646
sgd_seed42,sgd,,42,18,0.2686461930656433,0.90748,0.41134251804351807,0.8636
sgd_seed42,sgd,,42,19,0.24079166719436645,0.917,0.4198594636917114,0.8597
sgd_seed42,sgd,,42,20,0.20955850769519807,0.92812,0.35903422141075136,0.8793
sgd_seed42,sgd,,42,21,0.19085637050628662,0.93438,0.33534518947601316,0.8887
sgd_seed42,sgd,,42,22,0.1592578060770035,0.9449,0.36214274849891664,0.8819
sgd_seed42,sgd,,42,23,0.13541942207336427,0.9536,0.28676384687423706,0.9064
sgd_seed42,sgd,,42,24,0.10419698297262192,0.96494,0.2739062091827393,0.9132
sgd_seed42,sgd,,42,25,0.08453648581147194,0.97184,0.2580139579296112,0.9171
sgd_seed42,sgd,,42,26,0.061967847390770915,0.9804,0.24497470445632935,0.9238
sgd_seed42,sgd,,42,27,0.04704408220529556,0.98582,0.23084957809448242,0.9273
sgd_seed42,sgd,,42,28,0.03780029136061668,0.9889,0.22916782789230347,0.9323
sgd_seed42,sgd,,42,29,0.030958787817955018,0.99144,0.22945245332717895,0.9318
sgd_seed42,sgd,,42,30,0.029203431788682937,0.99238,0.2298728159427643,0.9317
