experiment,optimizer,rho,seed,epoch,train_loss,train_acc,test_loss,test_acc
adamw_seed42,adamw,,42,1,1.3668501220321656,0.50174,1.3925553504943848,0.5346
adamw_seed42,adamw,,42,2,0.8858328680610656,0.68606,0.9332439264297485,0.6882
adamw_seed42,adamw,,42,3,0.6883448232078552,0.75886,0.6398506548881531,0.7825
adamw_seed42,adamw,,42,4,0.5742652213096618,0.7995,0.6536260938644409,0.78
adamw_seed42,adamw,,42,5,0.5027306520652771,0.82614,0.5516943607330322,0.8183
adamw_seed42,adamw,,42,6,0.43554525835990904,0.84768,0.6038607633590698,0.8033
adamw_seed42,adamw,,42,7,0.39106410110473633,0.86462,0.45608734378814697,0.8481
adamw_seed42,adamw,,42,8,0.3554034338283539,0.87686,0.3928139074325562,0.8681
adamw_seed42,adamw,,42,9,0.31373506496429443,0.8918,0.403303107881546,0.8645
adamw_seed42,adamw,,42,10,0.29527444551467896,0.89806,0.38889459981918334,0.8741
adamw_seed42,adamw,,42,11,0.2626536511325836,0.90976,0.4061146592140198,0.8726
adamw_seed42,adamw,,42,12,0.23738629076004028,0.91762,0.39288554372787476,0.8774
adamw_seed42,adamw,,42,13,0.21346709630966187,0.9247,0.3544368694782257,0.8868
adamw_seed42,adamw,,42,14,0.1904622366428375,0.93408,0.3210278502702713,0.8967
adamw_seed42,adamw,,42,15,0.166013450255394,0.94118,0.33184780292510985,0.8985
adamw_seed42,adamw,,42,16,0.14969986291885376,0.94782,0.3550033066749573,0.8949
adamw_seed42,adamw,,42,17,0.12718966086387634,0.95544,0.33308908030986784,0.8981
adamw_seed42,adamw,,42,18,0.1149564532995224,0.95994,0.32487307000160215,0.9083
adamw_seed42,adamw,,42,19,0.09549946533441543,0.96542,0.3401819474697113,0.9074
adamw_seed42,adamw,,42,20,0.08063762233734131,0.9716,0.3192853304386139,0.9154
adamw_seed42,adamw,,42,21,0.0703664846855402,0.97554,0.32621006927490237,0.9166
adamw_seed42,adamw,,42,22,0.05714984007716179,0.9793,0.3168587471961975,0.9213
adamw_seed42,adamw,,42,23,0.04783908821344376,0.98318,0.32478854093551635,0.9221
adamw_seed42,adamw,,42,24,0.03994696364283562,0.98626,0.3178784789562225,0.9241
adamw_seed42,adamw,,42,25,0.034331073936223984,0.9882,0.3262260429859161,0.9221
adamw_seed42,adamw,,42,26,0.028367185976058244,0.99068,0.32227019929885864,0.9264
adamw_seed42,adamw,,42,27,0.024294526523947715,0.99196,0.32793818798065183,0.9257
adamw_seed42,adamw,,42,28,0.021498304196596145,0.99304,0.3261176763057709,0.927
adamw_seed42,adamw,,42,29,0.02115258918553591,0.99324,0.327872917842865,0.9265
adamw_seed42,adamw,,42,30,0.019481505016684532,0.99382,0.3288024923324585,0.9269
