experiment,optimizer,rho,seed,epoch,train_loss,train_acc,test_loss,test_acc
sam_rho005_seed42,sam,0.05,42,1,2.2287976834106447,0.21534,1.7399649791717529,0.3461
sam_rho005_seed42,sam,0.05,42,2,1.643651927986145,0.38476,1.496283609199524,0.4439
sam_rho005_seed42,sam,0.05,42,3,1.3992947244644165,0.48582,1.1992077980041504,0.5651
sam_rho005_seed42,sam,0.05,42,4,1.147825462989807,0.5878,1.0268766284942628,0.6339
sam_rho005_seed42,sam,0.05,42,5,0.9547280244636536,0.65934,0.9795178520202636,0.6479
sam_rho005_seed42,sam,0.05,42,6,0.8138380515289306,0.71512,0.761058529663086,0.7342
sam_rho005_seed42,sam,0.05,42,7,0.6946542936706543,0.7592,0.721748100566864,0.7482
sam_rho005_seed42,sam,0.05,42,8,0.6107187665939331,0.79118,0.5727516508102417,0.8026
sam_rho005_seed42,sam,0.05,42,9,0.5397983412361145,0.8154,0.6123739200592041,0.7913
sam_rho005_seed42,sam,0.05,42,10,0.5011804153823852,0.82874,0.5091361736774445,0.8237
sam_rho005_seed42,sam,0.05,42,11,0.46167842651367186,0.84208,0.5304885511875153,0.8197
sam_rho005_seed42,sam,0.05,42,12,0.4326587117958069,0.85076,0.4788870708465576,0.8347
sam_rho005_seed42,sam,0.05,42,13,0.40012649948120116,0.86298,0.49154340677261354,0.831
sam_rho005_seed42,sam,0.05,42,14,0.37076501142501833,0.87466,0.42577574195861817,0.8509
sam_rho005_seed42,sam,0.05,42,15,0.34048910873413085,0.88478,0.39964753017425536,0.8674
sam_rho005_seed42,sam,0.05,42,16,0.3145491282081604,0.89412,0.3675029602050781,0.8733
sam_rho005_seed42,sam,0.05,42,17,0.2830609993362427,0.9048,0.34348003997802734,0.8842
sam_rho005_seed42,sam,0.05,42,18,0.25807575647354125,0.91374,0.333195072221756,0.8863
sam_rho005_seed42,sam,0.05,42,19,0.23195654418945313,0.92334,0.3045818997859955,0.8948
sam_rho005_seed42,sam,0.05,42,20,0.20690928985118867,0.93296,0.29342686944007873,0.8978
sam_rho005_seed42,sam,0.05,42,21,0.1837140429019928,0.94106,0.27674215292930604,0.9044
sam_rho005_seed42,sam,0.05,42,22,0.15930268729686736,0.94844,0.2540909778594971,0.9126
sam_rho005_seed42,sam,0.05,42,23,0.1379393518590927,0.95754,0.25598318037986756,0.9129
sam_rho005_seed42,sam,0.05,42,24,0.11524196676731109,0.96574,0.21889252157211303,0.9269
sam_rho005_seed42,sam,0.05,42,25,0.09813188344836235,0.97172,0.21398009099960327,0.9265
sam_rho005_seed42,sam,0.05,42,26,0.08159484008729458,0.97786,0.21590220007896424,0.9276
sam_rho005_seed42,sam,0.05,42,27,0.07003210782527923,0.98236,0.20008152327537537,0.9329
sam_rho005_seed42,sam,0.05,42,28,0.06028280473470688,0.98526,0.1953803265094757,0.9341
sam_rho005_seed42,sam,0.05,42,29,0.05606556438684464,0.98712,0.19518937339782716,0.9348
sam_rho005_seed42,sam,0.05,42,30,0.05462921416282654,0.9874,0.1927040086746216,0.9359
