experiment,optimizer,rho,clean_accuracy,clean_loss,mean_cifar10c_accuracy,robustness_gap,cifar10c_ci_lower,cifar10c_ci_upper,ece,sharpness,sharpness_std,sharpness_trials,effective_rank,class_separation_ratio,feature_stability_cosine
sgd_seed42,sgd,,0.9323,0.22916782789230347,0.7065233333333334,0.22577666666666663,0.6267390833333335,0.7831924166666666,0.029575500637292862,-1.3244096408016048e-05,0.0002197547728428617,5,113.50336456298828,2.603013515472412,0.6755160093307495
adamw_seed42,adamw,,0.927,0.3261176763057709,0.6884833333333333,0.2385166666666667,0.6059096666666666,0.7674231666666664,0.04559289664030075,0.00013643395504914224,0.0001370222889818251,5,172.0404052734375,2.032245635986328,0.7149130702018738
sam_rho001_seed42,sam,0.01,0.9302,0.21355261578559875,0.7167166666666667,0.21348333333333336,0.641395,0.7894492499999999,0.025290479883551598,-9.378475078847259e-05,0.00013610522728413343,5,115.7262954711914,2.523634910583496,0.6978747844696045
sam_rho005_seed42,sam,0.05,0.9359,0.1927040086746216,0.7078766666666668,0.22802333333333313,0.6264300000000002,0.7862700833333334,0.011364500969648361,-3.109760655206628e-05,0.00028220145031809807,5,118.3365707397461,2.4352941513061523,0.67192143201828
sam_rho010_seed42,sam,0.1,0.9286,0.19757442231178285,0.7021733333333333,0.22642666666666666,0.6217978333333334,0.7787945833333334,0.005794902797788382,-3.8962691178312525e-05,0.0002813536557368934,5,110.5416488647461,2.4033477306365967,0.6804441213607788
