experiment,optimizer,rho,seed,epoch,train_loss,train_acc,test_loss,test_acc
sam_rho001_seed42,sam,0.01,42,1,2.054174528465271,0.26916,1.5553469244003295,0.4178
sam_rho001_seed42,sam,0.01,42,2,1.4882386644744874,0.44634,1.4817049545288086,0.4652
sam_rho001_seed42,sam,0.01,42,3,1.204947554321289,0.56658,1.0728952098846436,0.619
sam_rho001_seed42,sam,0.01,42,4,0.9923702527999878,0.64568,0.9543297547340394,0.6615
sam_rho001_seed42,sam,0.01,42,5,0.859677183971405,0.69392,0.9459809791564942,0.6703
sam_rho001_seed42,sam,0.01,42,6,0.7357332248497009,0.74284,0.7601111534118652,0.735
sam_rho001_seed42,sam,0.01,42,7,0.6357832842063904,0.77892,0.67009755859375,0.767
sam_rho001_seed42,sam,0.01,42,8,0.5788489367103576,0.80052,0.6245946477413178,0.7877
sam_rho001_seed42,sam,0.01,42,9,0.526215929851532,0.81854,0.6019600828170777,0.7945
sam_rho001_seed42,sam,0.01,42,10,0.49261853940963746,0.8311,0.5065427212715149,0.8237
sam_rho001_seed42,sam,0.01,42,11,0.4572670615005493,0.84354,0.5489615284442901,0.8153
sam_rho001_seed42,sam,0.01,42,12,0.4328879555606842,0.85022,0.5365524141788482,0.818
sam_rho001_seed42,sam,0.01,42,13,0.40547628089904786,0.85968,0.4771217414855957,0.8403
sam_rho001_seed42,sam,0.01,42,14,0.3824526263999939,0.86932,0.4284767285346985,0.857
sam_rho001_seed42,sam,0.01,42,15,0.3477142617893219,0.87898,0.4425015217781067,0.8514
sam_rho001_seed42,sam,0.01,42,16,0.3263250543117523,0.88834,0.39213735461235044,0.8695
sam_rho001_seed42,sam,0.01,42,17,0.29543455756187437,0.8985,0.3563646761417389,0.8772
sam_rho001_seed42,sam,0.01,42,18,0.2702213433456421,0.90712,0.38073339586257937,0.8731
sam_rho001_seed42,sam,0.01,42,19,0.23961300120353698,0.9176,0.35543093085289,0.8823
sam_rho001_seed42,sam,0.01,42,20,0.2150621709394455,0.92776,0.3363972420692444,0.8868
sam_rho001_seed42,sam,0.01,42,21,0.19079634261131287,0.93478,0.31595640392303465,0.8942
sam_rho001_seed42,sam,0.01,42,22,0.16304084231376648,0.94494,0.28064577903747556,0.9048
sam_rho001_seed42,sam,0.01,42,23,0.13456378209114075,0.95528,0.27766862545013427,0.9088
sam_rho001_seed42,sam,0.01,42,24,0.10904688376665116,0.96456,0.24857884845733644,0.9169
sam_rho001_seed42,sam,0.01,42,25,0.088240368745327,0.97126,0.2363031962156296,0.9236
sam_rho001_seed42,sam,0.01,42,26,0.06655894665658474,0.97972,0.2302252121925354,0.9245
sam_rho001_seed42,sam,0.01,42,27,0.05425575608372688,0.98414,0.21684222598075867,0.9285
sam_rho001_seed42,sam,0.01,42,28,0.04182757314622402,0.98842,0.21355261578559875,0.9302
sam_rho001_seed42,sam,0.01,42,29,0.03692360785126686,0.9906,0.21511584525108338,0.9292
sam_rho001_seed42,sam,0.01,42,30,0.03567334668874741,0.99096,0.21224609129428865,0.9298
