corruption,severity,loss,accuracy,experiment,optimizer,rho
gaussian_noise,1,0.6748408724784851,0.7824,sam_rho010_seed42,sam,0.1
gaussian_noise,2,1.4263160791397094,0.5807,sam_rho010_seed42,sam,0.1
gaussian_noise,3,2.4013667144775392,0.3846,sam_rho010_seed42,sam,0.1
gaussian_noise,4,2.841685077667236,0.3144,sam_rho010_seed42,sam,0.1
gaussian_noise,5,3.264887945175171,0.2552,sam_rho010_seed42,sam,0.1
shot_noise,1,0.4484048061132431,0.8519,sam_rho010_seed42,sam,0.1
shot_noise,2,0.7584159642219543,0.7595,sam_rho010_seed42,sam,0.1
shot_noise,3,1.6937846099853515,0.5311,sam_rho010_seed42,sam,0.1
shot_noise,4,2.1172589363098147,0.4418,sam_rho010_seed42,sam,0.1
shot_noise,5,2.8425954635620116,0.3186,sam_rho010_seed42,sam,0.1
motion_blur,1,0.35876596722602844,0.8776,sam_rho010_seed42,sam,0.1
motion_blur,2,0.6482628483772278,0.7891,sam_rho010_seed42,sam,0.1
motion_blur,3,1.002248007106781,0.684,sam_rho010_seed42,sam,0.1
motion_blur,4,0.9998327457427979,0.6819,sam_rho010_seed42,sam,0.1
motion_blur,5,1.3322611198425294,0.5954,sam_rho010_seed42,sam,0.1
brightness,1,0.2000475652217865,0.9285,sam_rho010_seed42,sam,0.1
brightness,2,0.20975816864967345,0.9244,sam_rho010_seed42,sam,0.1
brightness,3,0.22716586627960206,0.9199,sam_rho010_seed42,sam,0.1
brightness,4,0.25008560495376586,0.9127,sam_rho010_seed42,sam,0.1
brightness,5,0.32317497720718386,0.8887,sam_rho010_seed42,sam,0.1
contrast,1,0.21497514867782594,0.9251,sam_rho010_seed42,sam,0.1
contrast,2,0.32274594402313234,0.8857,sam_rho010_seed42,sam,0.1
contrast,3,0.45689083051681517,0.8368,sam_rho010_seed42,sam,0.1
contrast,4,0.7889398374557495,0.7245,sam_rho010_seed42,sam,0.1
contrast,5,2.5677944541931153,0.2889,sam_rho010_seed42,sam,0.1
jpeg_compression,1,0.4113626703262329,0.8588,sam_rho010_seed42,sam,0.1
jpeg_compression,2,0.5474145066261291,0.8138,sam_rho010_seed42,sam,0.1
jpeg_compression,3,0.6041135251998901,0.7965,sam_rho010_seed42,sam,0.1
jpeg_compression,4,0.675687783241272,0.7704,sam_rho010_seed42,sam,0.1
jpeg_compression,5,0.7696470520019532,0.7423,sam_rho010_seed42,sam,0.1
