corruption,severity,loss,accuracy,experiment,optimizer,rho
gaussian_noise,1,0.7244161205768586,0.8015,sam_rho001_seed42,sam,0.01
gaussian_noise,2,1.5695064485549928,0.6298,sam_rho001_seed42,sam,0.01
gaussian_noise,3,2.841957668304443,0.4345,sam_rho001_seed42,sam,0.01
gaussian_noise,4,3.525015351486206,0.3502,sam_rho001_seed42,sam,0.01
gaussian_noise,5,4.206888078308105,0.2832,sam_rho001_seed42,sam,0.01
shot_noise,1,0.46818076548576354,0.8608,sam_rho001_seed42,sam,0.01
shot_noise,2,0.791879433631897,0.7855,sam_rho001_seed42,sam,0.01
shot_noise,3,1.8776548377990723,0.5815,sam_rho001_seed42,sam,0.01
shot_noise,4,2.4315514169692993,0.4903,sam_rho001_seed42,sam,0.01
shot_noise,5,3.5330188903808595,0.3456,sam_rho001_seed42,sam,0.01
motion_blur,1,0.37853443937301634,0.8833,sam_rho001_seed42,sam,0.01
motion_blur,2,0.6994259155273438,0.8055,sam_rho001_seed42,sam,0.01
motion_blur,3,1.126539565563202,0.7043,sam_rho001_seed42,sam,0.01
motion_blur,4,1.1352583598136903,0.7041,sam_rho001_seed42,sam,0.01
motion_blur,5,1.5476013263702393,0.6157,sam_rho001_seed42,sam,0.01
brightness,1,0.21977155256271363,0.9286,sam_rho001_seed42,sam,0.01
brightness,2,0.2325550006866455,0.9261,sam_rho001_seed42,sam,0.01
brightness,3,0.2552759878158569,0.919,sam_rho001_seed42,sam,0.01
brightness,4,0.2869438217163086,0.9101,sam_rho001_seed42,sam,0.01
brightness,5,0.37877709369659424,0.8861,sam_rho001_seed42,sam,0.01
contrast,1,0.24129209132194518,0.9209,sam_rho001_seed42,sam,0.01
contrast,2,0.3968493905067444,0.8777,sam_rho001_seed42,sam,0.01
contrast,3,0.5888865749359131,0.8264,sam_rho001_seed42,sam,0.01
contrast,4,1.0570784246444702,0.7167,sam_rho001_seed42,sam,0.01
contrast,5,3.6722625518798826,0.2971,sam_rho001_seed42,sam,0.01
jpeg_compression,1,0.4483380237579346,0.8621,sam_rho001_seed42,sam,0.01
jpeg_compression,2,0.6131847858428955,0.8198,sam_rho001_seed42,sam,0.01
jpeg_compression,3,0.6721016424179077,0.8025,sam_rho001_seed42,sam,0.01
jpeg_compression,4,0.7523926292419434,0.7807,sam_rho001_seed42,sam,0.01
jpeg_compression,5,0.8733462670326233,0.7519,sam_rho001_seed42,sam,0.01
